current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
315;305.74698370518115;311.4888;311.4914428426214;311.4546705472243;6607.280978992272;934.656680784059;934.6386816344303;934.6386816344303;70.0;72.30456788788172;100.0;100.0;5.472747925727518;5;11.312765663143315;11.312765663143315;1.6283782555641382;1539.9445140011703;3990.7058543435214;3396.41625;184.0;126.30834921869902;136.0;0;6
316;305.74818072566126;311.49066;311.49710078690305;311.4546705472243;6579.879606020506;934.8799638461968;934.861069939023;934.861069939023;70.0;72.36051397063287;100.0;100.0;5.534735621438131;5;11.378636764429249;11.378636764429249;1.6296427908570823;1539.8969948332028;3995.0482617291423;3396.41625;184.0;126.2546708401962;136.0;0;6
317;305.74936577593655;311.49277;311.5029049320075;311.4546705472243;6547.255557719096;935.1002873282904;935.0806329868747;935.0806329868747;70.0;72.41553208443332;100.0;100.0;5.595651537781279;5;11.450385101476007;11.450385101476007;1.6309521627927601;1539.907264908758;3999.485163773218;3396.41625;184.0;126.2021160977629;136.0;0;6
318;305.7505389757091;311.49484;311.5085330748217;311.4546705472243;6509.860388254445;935.3171212214608;935.2968559411308;935.2968559411308;70.0;72.46957474036999;100.0;100.0;5.655557578694484;5;11.527922067528097;11.527922067528097;1.6322150027234201;1539.9600647781565;4003.721493965462;3396.41625;184.0;126.15126573502147;136.0;0;6
319;305.7517004434839;311.49704;311.5142557591676;311.4546705472243;6466.635502828682;935.5299736633323;935.5092612446238;935.5092612446238;70.0;72.5227702419784;100.0;100.0;5.714039628568685;5;11.611022440359804;11.611022440359804;1.6335079679453148;1540.04724805424;4008.025758779707;3396.41625;184.0;126.10271136381198;136.0;0;6
320;305.75285029658096;311.49896;311.5198133461504;311.4546705472243;6419.94918424732;935.7382380553913;935.7172603242017;935.7172603242017;70.0;72.57496676545574;100.0;100.0;5.7707657780375285;5;11.699444248057327;11.699444248057327;1.6347574255259305;1540.1549208413649;4012.1617640230706;3396.41625;184.0;126.0571510734421;136.0;0;6
321;305.75398865114704;311.50137;311.52540305087996;311.4546705472243;6369.794861880553;935.9415382277608;935.9204884525321;935.9204884525321;70.0;72.62618925360715;100.0;100.0;5.8255853186759055;5;11.792966688052593;11.792966688052593;1.6360192469856538;1540.275232718727;4016.327123056111;3396.41625;184.0;126.01517809772872;136.0;0;6
322;305.75511562216747;311.5041;311.53083179958105;311.4546705472243;6316.779996996351;936.1394903333868;936.1185736268183;936.1185736268183;70.0;72.67651337817462;100.0;100.0;5.878553713953153;5;11.891415738503358;11.891415738503358;1.6372386692267877;1540.4001476644535;4020.343873625783;3396.41625;184.0;125.97741625123224;136.0;0;6
323;305.7562313234777;311.5071;311.53627059700773;311.4546705472243;6260.328310076235;936.331765814771;936.3111975009372;936.3111975009372;70.0;72.72588547022421;100.0;100.0;5.9292272182555195;5;11.994473161189383;11.994473161189383;1.638464134591633;1540.5223208889984;4024.383890880212;3396.41625;184.0;125.9444775540864;136.0;0;6
324;305.7573358677748;311.50998;311.5415445352522;311.4546705472243;6200.4209821105305;936.5179694013763;936.4979773312878;936.4979773312878;70.0;72.77433928733544;100.0;100.0;5.977566570543303;5;12.10189768870127;12.10189768870127;1.6396460300983182;1540.6349759293353;4028.2854449445836;3396.41625;184.0;125.91704282236488;136.0;0;6
325;305.758429366629;311.51254;311.5468102269944;311.4546705472243;6139.738501567018;936.697695374248;936.6785204901593;936.6785204901593;70.0;72.82185415826264;100.0;100.0;6.023231919037727;5;12.213353950303928;12.213353950303928;1.6408287190189363;1540.7331865087804;4032.2041382338184;3396.41625;184.0;125.89582899191635;136.0;0;6
