current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
413;305.82198131396177;311.45242;311.3748793244641;311.4546705472243;9351.179588412955;974.8070304333077;974.8352101838644;974.8352101838644;70.0;78.65325975637015;69.48095353319086;69.48095353319086;5.4342010075339005;5;19.320109772764148;19.320109772764148;1.5740765421645215;1200.7134816712153;4145.5056648801765;3396.41625;184.0;125.26182550529198;136.0;0;6
414;305.82242835835405;311.44525;311.390238030467;311.4546705472243;9188.378262687278;975.2012246464648;975.2292726229196;975.2292726229196;70.0;78.85108226676789;68.63704787289686;68.63704787289686;5.325466440665309;5;19.33090950345696;19.33090950345696;1.5783035415982594;1212.8867901616163;4147.689005955264;3396.41625;184.0;125.31336139921048;136.0;0;6
415;305.8228709323024;311.44934;311.4049100249637;311.4546705472243;8995.53712203784;975.5854971698818;975.6127569762699;975.6127569762699;70.0;79.05472119656189;67.73735473340305;67.73735473340305;5.210020822084132;5;19.328822461949137;19.328822461949137;1.582337146582812;1224.8075074572491;4149.468090175245;3396.41625;184.0;125.35072238704078;136.0;0;6
416;305.8233090805113;311.46167;311.4187472417831;311.4546705472243;8762.473402882082;975.9575823497922;975.9833915299993;975.9833915299993;70.0;79.2671301735183;66.72885350283926;66.72885350283926;5.088293711719373;5;19.313306411048124;19.313306411048124;1.5861353722204135;1236.4935705275516;4150.68238238166;3396.41625;184.0;125.37251441370921;136.0;0;6
417;305.8237428472381;311.47092;311.43156871342933;311.4546705472243;8497.282252171113;976.3142792684549;976.3379880142498;976.3379880142498;70.0;79.4869681198319;65.69671638895016;65.69671638895016;4.961589458490025;5;19.284124506251256;19.284124506251256;1.58964690722215;1247.8823304291336;4151.22025702242;3396.41625;184.0;125.37772850013626;136.0;0;6
418;305.82417227629765;311.48038;311.44343242423804;311.4546705472243;8203.124301693653;976.6525290032059;976.6735810970742;976.6735810970742;70.0;79.71333006382028;64.6158703298376;64.6158703298376;4.834287120350211;5;19.242092750658315;19.242092750658315;1.5928881759513438;1258.9888543726402;4151.122430861364;3396.41625;184.0;125.36709668796955;136.0;0;6
419;305.8245974110666;311.48734;311.4544252212338;311.4546705472243;7892.913351728883;976.9691213277442;976.9871162304385;976.9871162304385;70.0;79.9459925007811;63.508666812784135;63.508666812784135;4.709993009962972;5;19.188233229577165;19.188233229577165;1.5958837845840543;1269.7934749307844;4150.4921441419965;3396.41625;184.0;125.34284821452749;136.0;0;6
420;305.8250182944878;311.49323;311.46454282633385;311.4546705472243;7573.664351041069;977.2614851583404;977.2762385236352;977.2762385236352;70.0;80.18040248572228;62.47640869406973;62.47640869406973;4.589961852312413;5;19.123223183278295;19.123223183278295;1.5986325082418174;1280.2695813913717;4149.351847379396;3396.41625;184.0;125.3087958617557;136.0;0;6
421;305.8254349690748;311.497;311.4740826696708;311.4546705472243;7261.123700706647;977.5274152988131;977.5389856860737;977.5389856860737;70.0;80.41372193539152;61.4815238760075;61.4815238760075;4.4808412700795515;5;19.04948319383968;19.04948319383968;1.6012186472078642;1290.4032711343016;4148.0017620455055;3396.41625;184.0;125.26973575189353;136.0;0;6
422;305.82584747691595;311.50064;311.48328053533584;311.4546705472243;6957.730688484051;977.7659804194654;977.7746643208542;977.7746643208542;70.0;80.64492702399593;60.535536446932184;60.535536446932184;4.407105216216095;5;18.9754465046886;18.9754465046886;1.6037090271210157;1300.1668591764524;4146.696540809056;3396.41625;184.0;125.23082686616193;136.0;0;6
423;305.8262558596787;311.50198;311.49369350867283;311.4546705472243;6673.802039119842;977.9765748250232;977.9828805152172;977.9828805152172;70.0;80.86537386899053;59.74373206622573;59.74373206622573;4.369303323303782;5;18.904816458436514;18.904816458436514;1.6065450221828785;1309.4945419919375;4147.001077706601;3396.41625;184.0;125.1971323250199;136.0;0;6
424;305.82666015861383;311.5044;311.5078560317841;311.4546705472243;6410.808357019603;978.1597325738182;978.1643274604919;978.1643274604919;70.0;81.05079241619481;59.015755492798746;59.015755492798746;4.354963248613089;5;18.83744476835968;18.83744476835968;1.6104450574251163;1318.1377217317086;4151.60404103914;3396.41625;184.0;125.17300697465593;136.0;0;6
425;305.8270604145596;311.509;311.5185747078693;311.4546705472243;6161.515295582398;978.3163905400456;978.3200519552589;978.3200519552589;70.0;81.1985869887854;58.38040723636152;58.38040723636152;4.372314985166128;5;18.778146614186905;18.778146614186905;1.613370013558465;1325.805776243326;4153.870355069365;3396.41625;184.0;125.1620688534312;136.0;0;6
