current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
1902;306.3581563306215;313.0524;313.08653577133043;313.0471758061907;4640.012289559263;900.9524730176196;859.8646322661705;859.8646322661705;70.0;76.09257847841587;70.0;50;67.50058985172711;2.4725213845223237;3;50;50;1.5544673953755954;1835.6026236445405;4642.346534281197;4167.311052774134;212.0;200.0;148.0;0;4
1903;306.3581568932702;313.04605;313.0927753644056;313.0471758061907;4669.119128716053;900.9560522953035;859.862402597797;859.862402597797;70.0;76.10939906401333;70.0;50;67.46371765941431;2.48693860063687;3;50;50;1.5429283001035436;1832.5732751293494;4651.382696510416;4202.3702405384865;212.0;200.0;148.0;0;4
1904;306.35815745029237;313.05826;313.0863282220351;313.0471758061907;4650.432396782475;900.9633783419016;859.8637142113214;859.8637142113214;70.0;76.3798543879346;70.0;50;67.51839330057888;2.4934393580788194;3;50;50;1.5497516770059268;1831.7036834193138;4646.044572199135;4179.862071924491;212.0;200.0;148.0;0;4
1905;306.3581580017443;313.0464;313.0949765176823;313.0471758061907;4667.294473296164;900.968290062299;859.862753699464;859.862753699464;70.0;76.10523437542923;70.0;50;67.54415673618111;2.5024721442706266;3;50;50;1.5442399612551287;1832.1483269952257;4653.925803779571;4200.172443085231;212.0;200.0;148.0;0;4
1906;306.35815854768174;313.05386;313.08506126429165;313.0471758061907;4656.6274831009505;900.975368182732;859.8638434008881;859.8638434008881;70.0;76.1182673754589;70.0;50;67.57175531605643;2.5173698359628363;3;50;50;1.5466983961383398;1829.9421205109425;4646.585276986743;4187.324053395095;212.0;200.0;148.0;0;4
1907;306.3581590881598;313.04883;313.08153666014505;313.0471758061907;4668.693715216399;900.9810653632597;859.8636360179884;859.8636360179884;70.0;75.97406261704472;70.0;50;67.60174869502691;2.542865535810421;3;50;50;1.5405408085379277;1827.2694766281452;4645.863982127821;4201.857829978153;212.0;200.0;148.0;0;4
1908;306.3581596232331;313.0453;313.0937428324235;313.0471758061907;4708.61538629124;900.9883097332432;859.8648946022513;859.8648946022513;70.0;76.29322776655832;70.0;50;67.70018898086335;2.557680853713407;3;50;50;1.5258755389119958;1825.4874421685158;4659.397359975841;4249.9434827877985;212.0;200.0;148.0;0;4
1909;306.3581601529557;313.05997;313.09291058632033;313.0471758061907;4690.345777612834;901.0006696968653;859.870987787807;859.870987787807;70.0;76.41308925191629;70.0;50;67.6773161706362;2.549740287791144;3;50;50;1.5336278399317087;1826.691430125862;4657.391592108977;4227.93773913466;212.0;200.0;148.0;0;4
1910;306.358160677381;313.04935;313.093300100652;313.0471758061907;4686.234758746332;901.0106747105655;859.8748635444086;859.8748635444086;70.0;76.13220476036474;70.0;50;67.68811708229848;2.5532530546040904;3;50;50;1.5355148011315525;1828.0129687623219;4656.444565174499;4222.9860169099575;212.0;200.0;148.0;0;4
1911;306.3581611965621;313.0498;313.08919310143057;313.0471758061907;4676.727885675491;901.0201413277543;859.8782369243559;859.8782369243559;70.0;76.41975693634717;70.0;50;67.70496847252787;2.558033975919193;3;50;50;1.5387508154102005;1829.0089617261451;4651.493935643113;4211.534988296129;212.0;200.0;148.0;0;4
1912;306.35816171055137;313.0483;313.09473090368385;313.0471758061907;4671.426631254999;901.0283766254247;859.8804539883863;859.8804539883863;70.0;76.14753413699123;70.0;50;67.65618241958336;2.5590669335458416;3;50;50;1.5423551270532379;1830.6043350603036;4655.229752703809;4205.149627346646;212.0;200.0;148.0;0;4
1913;306.35816221940075;313.0508;313.0821181712834;313.0471758061907;4656.576007587279;901.0359215251096;859.8820253778671;859.8820253778671;70.0;76.40966346284685;70.0;50;67.64642463921982;2.5675714347815983;3;50;50;1.5460437470334125;1831.8129776703092;4641.877333683253;4187.262051138878;212.0;200.0;148.0;0;4
1914;306.3581627231616;313.04666;313.0995126744894;313.0471758061907;4671.230310611971;901.0415468264116;859.881791292781;859.881791292781;70.0;76.14276029003136;70.0;50;67.70685929121383;2.5677713306889016;3;50;50;1.5435364918401693;1833.4244106153897;4657.012495523966;4204.913159132119;212.0;200.0;148.0;0;4
1915;306.35816322188487;313.05597;313.0793533028131;313.0471758061907;4639.094624576388;901.0490522878134;859.8833373526554;859.8833373526554;70.0;76.39184417648212;70.0;50;67.56866080370132;2.5753183403063304;3;50;50;1.5532183988937893;1834.4554372655032;4636.571948850612;4166.20572530226;212.0;200.0;148.0;0;4
1916;306.3581637156209;313.04306;313.1015951996157;313.0471758061907;4668.057144932489;901.0524090405212;859.8809749039441;859.8809749039441;70.0;76.14095000372679;70.0;50;67.57880152582032;2.575247388024013;3;50;50;1.5454178066772855;1835.8296807673723;4656.61128339316;4201.091081071183;212.0;200.0;148.0;0;4
1917;306.35816420441955;313.058;313.07401933591007;313.0471758061907;4628.937490697024;901.0594946434617;859.8821367113491;859.8821367113491;70.0;76.30557548896014;70.0;50;67.48077725205803;2.5815547158027954;3;50;50;1.5565564351081211;1835.6212217944055;4630.269781702052;4153.971457544567;212.0;200.0;148.0;0;4
1918;306.35816468833025;313.04062;313.10185236818955;313.0471758061907;4669.743075512288;901.061528135034;859.8785380192298;859.8785380192298;70.0;76.32497167236136;70.0;50;67.56123952112158;2.578431636705318;3;50;50;1.5447298359111197;1837.035570509659;4655.652053905273;4203.121784454551;212.0;200.0;148.0;0;4
1919;306.3581651674018;313.0576;313.10237621532144;313.0471758061907;4636.834983338822;901.0688207869144;859.879907227513;859.879907227513;70.0;76.3765193337476;70.0;50;67.46360391585551;2.569137898306124;3;50;50;1.5595572199430094;1838.2100676454102;4654.981445070671;4163.483987431612;212.0;200.0;148.0;0;4
1920;306.35816564168266;313.0584;313.07560894811894;313.0471758061907;4571.027618027709;901.0718644943017;859.8772734259397;859.8772734259397;70.0;76.17190234203227;70.0;50;67.34333540140446;2.5648287365435865;3;50;50;1.5835145082499347;1838.2665402118084;4629.153526358877;4084.2190159143756;212.0;200.0;148.0;0;4
1921;306.3581661112207;313.02948;313.086576473292;313.0471758061907;4630.1086361067755;901.0663742530777;859.8665986811972;859.8665986811972;70.0;76.09072659081703;70.0;50;67.4399147559414;2.5726441051844744;3;50;50;1.5589370048496682;1836.525909688729;4641.453018706223;4155.382102190612;212.0;200.0;148.0;0;4
