current_time;Tw_in;Tw_out;Tw_out_sp;Theater_opt;Theater1;Theater2;omegab_opt;pc_reduced;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
1968;306.35818361136717;313.2175752723246;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901114269877;80.06901114269877;80.34602990870977;43.0;43;8.925410015672824;3;50;50;1.449592266702152;2098.8224790149916;4505.262624321591;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1969;306.3581839012084;313.21757559667066;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901177280469;80.06901177280469;80.3460303347764;43.0;43;8.930573611967384;3;50;50;1.4495922739940483;2098.8225090045185;4505.262627552647;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1970;306.3581841881512;313.21757601216547;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901213755489;80.06901213755489;80.3460307565823;43.0;43;8.942977879409545;3;50;50;1.4495923011608909;2098.8225571692356;4505.262703155246;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1971;306.3581844722246;313.21757648454764;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901233592792;80.06901233592792;80.34603117417018;43.0;43;8.940208089956514;3;50;50;1.4495923409560971;2098.822608672506;4505.262832951871;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1972;306.35818475345724;313.217576785527;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901306944674;80.06901306944674;80.34603158758217;43.0;43;8.945075768109774;3;50;50;1.449592345129168;2098.822648666537;4505.26281196961;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1973;306.35818503187755;313.2175770688677;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901345882602;80.06901345882602;80.34603199686003;43.0;43;8.925408162416446;3;50;50;1.4495923461689757;2098.822704918319;4505.262760455007;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1974;306.3581853075137;313.2175773759908;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901405543113;80.06901405543113;80.34603240204514;43.0;43;8.930571774316547;3;50;50;1.4495923528231096;2098.822733502843;4505.262762185537;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1975;306.3581855803934;313.21757777319056;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901437589624;80.06901437589624;80.34603280317835;43.0;43;8.942976050034872;3;50;50;1.449592379095609;2098.822779152655;4505.2628362285695;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1976;306.3581858505444;313.2175782272143;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901455627462;80.06901455627462;80.34603320030027;43.0;43;8.940206312276985;3;50;50;1.4495924179533648;2098.822827659781;4505.262964750484;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1977;306.3581861179938;313.2175785109344;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901527711221;80.06901527711221;80.34603359345091;43.0;43;8.94507399135766;3;50;50;1.4495924213918436;2098.8228655447556;4505.262942530608;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1978;306.35818638276874;313.2175787767308;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901565900691;80.06901565900691;80.34603398267006;43.0;43;8.925406403634895;3;50;50;1.4495924216077092;2098.822919184526;4505.262889874282;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1979;306.3581866448959;313.217579067485;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901622380028;80.06901622380028;80.34603436799702;43.0;43;8.930570030323883;3;50;50;1.4495924276574483;2098.8229464420665;4505.262890178279;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1980;306.3581869044018;313.2175794472982;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901650220415;80.06901650220415;80.34603474947069;43.0;43;8.94297431386725;3;50;50;1.4495924530819329;2098.8229897111332;4505.262962738651;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1981;306.3581871613127;313.2175798838761;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901666555073;80.06901666555073;80.34603512712968;43.0;43;8.940204625146393;3;50;50;1.449592491050887;2098.8230353804643;4505.263090049139;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1982;306.35818741565447;313.21758015119457;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.069017374398;80.069017374398;80.3460355010121;43.0;43;8.945072305081183;3;50;50;1.449592493793253;2098.8230712701993;4505.263066653136;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1983;306.3581876674528;313.2175804003184;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901774924839;80.06901774924839;80.34603587115564;43.0;43;8.925404734387769;3;50;50;1.4495924932280586;2098.8231224365336;4505.263012911875;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1984;306.35818791673313;313.21758067551633;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901828383646;80.06901828383646;80.34603623759773;43.0;43;8.930568375082748;3;50;50;1.4495924987052002;2098.823148441667;4505.26301185963;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1985;306.3581881635207;313.21758103880734;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.0690185222845;80.0690185222845;80.34603660037547;43.0;43;8.942972666015896;3;50;50;1.4495925233258236;2098.82318945808;4505.263083010404;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1986;306.3581884078404;313.2175814588081;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901866948996;80.06901866948996;80.34603695952538;43.0;43;8.940203023803093;3;50;50;1.4495925604524287;2098.823232441118;4505.2632091695905;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1987;306.35818864971685;313.2175817105415;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901936699118;80.06901936699118;80.3460373150838;43.0;43;8.945070704512744;3;50;50;1.4495925625354762;2098.8232664450343;4505.263184655669;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1988;306.3581888891746;313.217581943823;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06901973520107;80.06901973520107;80.34603766708668;43.0;43;8.925403149948735;3;50;50;1.4495925612302596;2098.823315271019;4505.26312988335;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1989;306.35818912623773;313.2175822042388;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902024112341;80.06902024112341;80.34603801556949;43.0;43;8.930566803905014;3;50;50;1.4495925661653728;2098.8233400957383;4505.26312754213;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1990;306.3581893609302;313.2175825518308;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902044164791;80.06902044164791;80.34603836056746;43.0;43;8.9429711018121;3;50;50;1.449592590024372;2098.8233789819506;4505.263197353285;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1991;306.3581895932758;313.21758295608066;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902057355897;80.06902057355897;80.3460387021155;43.0;43;8.940201503705268;3;50;50;1.449592626352835;2098.823419422828;4505.2633224184365;4555.822526813689;212.0;148.2855423486862;148.0;0;4
1992;306.35818982329795;313.21758319300557;313.0471758061907;943.2;942.1756008683396;950.9966472746587;4962.562288761884;80.06902126031999;80.06902126031999;80.34603904024802;43.0;43;8.945069185109517;3;50;50;1.4495926278115827;2098.8234516448983;4505.263296842162;4555.822526813689;212.0;148.2855423486862;148.0;0;4
