current_time;Tw_in;Tw_out_rnn;Tw_out;Tw_out_sp;omegab_opt;Theater1;Theater2;Theater_opt;pc_rnn;pc;pc_opt;Hpev;Hpev_opt;SH;SH_sp;Lpev;Lpev_opt;COP;Pgc;Prec;Pcomb;omega1;omega2;omega3;k_step;T_outdoor
4416;305.60064868300776;310.64294;310.53136019849046;310.63014460429247;3461.6376804683323;815.5843372836416;774.5580220393275;774.5580220393275;70.0;74.47647622568262;70.0;50;57.83986814883032;0.0;3;50;50;1.7275333132617692;1260.5685606206875;3486.6218722557473;2747.958836124107;170.0;170.0;130.0;0;7
4417;305.6005686863636;310.6427;310.5299251529004;310.63014460429247;3478.104598309492;815.56467331602;774.5375917460584;774.5375917460584;70.0;74.39361694031331;70.0;50;57.806398682978454;0.001112372947915219;3;50;50;1.7146822069496293;1260.2394545993661;3485.6463642529116;2767.793238663783;170.0;170.0;130.0;0;7
4418;305.6004894896859;310.64435;310.530156447947;310.63014460429247;3492.9924372810437;815.5474505134785;774.5194389292063;774.5194389292063;70.0;74.42054214349584;70.0;50;57.730812215271;0.0;3;50;50;1.7037516849194903;1259.421280434343;3486.763473640258;2785.7256407050177;170.0;170.0;130.0;0;7
4419;305.600411084975;310.6444;310.5373976989857;310.63014460429247;3509.9820832616997;815.5324306178208;774.503341813776;774.503341813776;70.0;74.26474105651249;70.0;50;57.64823574238218;0.0;3;50;50;1.693838454419959;1258.1327827961702;3495.099189441088;2806.189669288718;170.0;170.0;130.0;0;7
4420;305.6003334643112;310.64496;310.5504470711725;310.63014460429247;3504.0063372424565;815.5199154953466;774.4895819177431;774.4895819177431;70.0;73.96648673169108;70.0;50;57.694756889145964;0.0;3;50;50;1.7027096102010788;1264.386353884171;3501.4840245298255;2798.9918832085395;170.0;170.0;130.0;0;7
4421;305.600256619854;310.64304;310.5524829683998;310.63014460429247;3463.1126140070473;815.5065390529932;774.4750222197416;774.4750222197416;70.0;74.11279181075763;70.0;50;58.04727679920739;0.0;3;50;50;1.7339502902714077;1286.6113937503972;3481.2930901024483;2749.7353935714887;170.0;170.0;130.0;0;7
4422;305.6001805438414;310.6382;310.5484664366273;310.63014460429247;3422.0320122614553;815.4871758400649;774.4548873356326;774.4548873356326;70.0;74.42630741714748;70.0;50;58.23924445956254;0.0;3;50;50;1.7643195896567914;1291.7747180551648;3472.3359738012105;2700.2538087689236;170.0;170.0;130.0;0;7
4423;305.6001052285889;310.6369;310.5276349872165;310.63014460429247;3386.1246235918316;815.4617791539758;774.4291361906105;774.4291361906105;70.0;74.50683240583129;70.0;50;58.34483931090713;0.0;3;50;50;1.78551791616448;1281.7178192477054;3462.4092817637643;2657.0033591163615;170.0;170.0;130.0;0;7
4424;305.600030666489;310.63644;310.53536686950093;310.63014460429247;3407.4471893727987;815.4310967878183;774.3984673091695;774.3984673091695;70.0;74.43449517109823;70.0;50;58.14112957539966;0.0;3;50;50;1.7712256669126214;1269.889247289846;3481.7537422460055;2682.6863895995366;170.0;170.0;130.0;0;7
4425;305.59995685001;310.64426;310.5103281968822;310.63014460429247;3389.2355369998954;815.4036048574693;774.3707723773263;774.3707723773263;70.0;74.47077633445392;70.0;50;58.033903125063446;0.0;3;50;50;1.7767947075503847;1260.1821420927588;3467.425183248857;2660.7504543163745;170.0;170.0;130.0;0;7
4426;305.59988377169583;310.6404;310.54101236053737;310.63014460429247;3460.058376493124;815.3734462622485;774.340598352179;774.340598352179;70.0;73.95941154982975;70.0;50;57.53223326118936;0.0;3;50;50;1.732382298416119;1261.0707876562146;3496.1489951086583;2746.056564485968;170.0;170.0;130.0;0;7
4427;305.5998114241648;310.65085;310.5302159629982;310.63014460429247;3425.1852472928263;815.3537772232035;774.3201961382109;774.3201961382109;70.0;74.10200939073515;70.0;50;57.6718932136745;0.0;3;50;50;1.7554747807792495;1274.8587957514655;3472.036086146612;2704.0518803642094;170.0;170.0;130.0;0;7
4428;305.5997398001091;310.64056;310.5343790361832;310.63014460429247;3454.6413024843423;815.3289899058475;774.2950300509642;774.2950300509642;70.0;74.40009045532221;70.0;50;57.65545534244241;0.0;3;50;50;1.7342277753949675;1270.493885311725;3480.4780783957094;2739.5316988423906;170.0;170.0;130.0;0;7
